"node","module","degree","betweenness","is_hub"
"2-Methyl-3-oxopropanoic acid","1",147,1135,FALSE
"3-HYDROXYBUTANOIC ACID","1",59,94,FALSE
"3-methoxy-5h-furan-2-one","1",147,1744,FALSE
"TAURINE","2",103,4934.5,FALSE
"Erythrose","1",145,701.666666666667,FALSE
"(4R,5S)-5-hydroxyhexan-4-olide","1",153,1150.5,FALSE
"Glutarate","1",151,1605.5,FALSE
"Ethyl hydrogen fumarate","1",157,795,FALSE
"Carboxycyclohexane","2",106,2295.5,FALSE
"urocanic acid","1",99,1502.5,FALSE
"4-Hydroxyquinoline","1",110,719,FALSE
"2-(furan-2-yl)-3-methylbut-2-enal","3",91,80,FALSE
"Erythronolactone","2",133,2742.5,FALSE
"Aspartic Acid","3",137,1073.33333333333,FALSE
"Salicylic acid","1",93,768,FALSE
"4-phenylbutan-2-ol","1",23,299,FALSE
"N-Acetylalanine","4",52,818,FALSE
"2-hydroxy enanthoic acid","4",52,1051.83333333333,FALSE
"6-Methyl-6-hepten-2-one","2",91,901.5,FALSE
"XANTHINE","1",114,3144.5,FALSE
"2R-hydroxy-octanoic acid","1",15,0,FALSE
"D-TAGATOSE","1",129,3351,FALSE
"2-amino-4-(c-hydroxycarbonimidoyl)pent-4-enoic acid","3",174,3233.66666666667,TRUE
"Calystegine A7","4",58,786,FALSE
"2,3-dihydroxybenzamide","2",121,1161,FALSE
"3-Hydroxy-3-methylglutarate","2",113,506,FALSE
"D-4-Hydroxyphenylglycine","2",131,1921.5,FALSE
"Myrothenone A","2",120,1837,FALSE
"4-hydroxy-2-methylbenzoic acid","3",64,421,FALSE
"trans-Cinnamic acid","5",87,1363,FALSE
"(4r)-4-hydroxy-5,5-dimethyloxolan-2-one","5",101,2183.5,FALSE
"Oxyquinoline","2",108,1439.5,FALSE
"L-Pyroglutamic acid","6",55,6986,FALSE
"cis-Acetylacrylic acid","4",2,1668,FALSE
"5-Pyridoxolactone","3",96,1159.66666666667,FALSE
"3-(1-aminoethylidene)-6-methyl-2H-pyran-2,4(3H)-dione","2",96,1420,FALSE
"p-nitrobenzoate","3",150,2548,FALSE
"2-Hydroxycinnamic acid, predominantly trans","1",112,1686,FALSE
"FA 9:2+1O","5",39,422,FALSE
"4-Methoxyindole-3-carbaldehyde","1",167,1640.16666666667,FALSE
"(5s)-2-carboxy-5-methylthiomorpholin-1-ium-1-olate","2",150,2811,FALSE
"(1s,6s,8s,8ar)-octahydroindolizine-1,6,8-triol","2",24,910.5,FALSE
"Fructose","2",46,1706,FALSE
"5-hydroxy-4-methoxy-5h-furan-2-one","5",14,363,FALSE
"4,5-dihydroxy-7-methylphthalide","5",87,1404,FALSE
"4-Bromophenol","7",119,4732.83333333333,FALSE
